Outcome,Model,Status,K_reports,K_effects_selected,Estimate_lnRR,SE_normal,CI_low_normal,CI_high_normal,P_normal,Tau2_REML,I2,HK_SE,HK_CI_low,HK_CI_high,Prediction_low_t,Prediction_high_t,Percent_growth_reduction,Reduction_HK_CI_low,Reduction_HK_CI_high,Percent_control_excess_over_exposed,Reason
Growth,Primary eligible set,Estimated,17,42,0.2511510442656627,0.05585461370183466,0.14167801303966937,0.36062407549165604,6.90766809424222e-06,0.047284393978901704,99.53598281193204,0.05603778942232602,0.132356237512629,0.36994585101869637,-0.22737780590529955,0.729679894436625,22.209513538422556,12.39711348574315,30.922826578961637,28.550423771154023,
Growth,Exclude dietary substitution,Estimated,14,27,0.1998497395908123,0.05624055454138537,0.08962027821913637,0.3100792009624882,0.0003801687196837155,0.03752591125693444,98.9344742848866,0.05821502024629937,0.07408383451536033,0.32561564466626425,-0.23964932836196887,0.6393488075435935,18.11462148608537,7.140615763672875,27.79173295719579,22.121924346978727,
Growth,Exclude biodegradable polymers,Estimated,14,31,0.2657730055115898,0.0592223889137635,0.14969925616218915,0.3818467548609904,7.199227278679475e-06,0.04231672267225133,99.29861015638555,0.059687799691368795,0.13682535388512718,0.3947206571380524,-0.20063552876775342,0.732181539790933,23.338687529388004,12.787747435674001,32.61317467540372,30.443892463144117,
Growth,Exclude aged or weathered particles,Estimated,17,42,0.2511510442656627,0.05585461370183466,0.14167801303966937,0.36062407549165604,6.90766809424222e-06,0.047284393978901704,99.53598281193204,0.05603778942232602,0.132356237512629,0.36994585101869637,-0.22737780590529955,0.729679894436625,22.209513538422556,12.39711348574315,30.922826578961637,28.550423771154023,
Growth,Exclude low-realism exposure descriptions,Estimated,13,27,0.2621265847523228,0.06732352677335435,0.1301748969643302,0.3940782725403154,9.879347518673782e-05,0.0510916066762529,98.79460092935332,0.06730247409415833,0.11548709072762436,0.40876607877702126,-0.2569703592746892,0.7812235287793348,23.058637848982332,10.906792655235387,33.55303523033477,29.969105308694278,
Growth,Exclude internal source conflicts,Estimated,8,15,0.214487403636692,0.07560175967195144,0.06631067751181446,0.36266412976156953,0.004552978096109313,0.04173601314205787,99.11881459858294,0.07825089026789495,0.02945345080050185,0.3995213564728821,-0.31853312319106347,0.7475079304644474,19.30450236340627,2.902392525174713,32.935903281594,23.922651112882008,
Growth,Exclude B1-160 and B1-162,Estimated,15,32,0.23183099827154027,0.06026313675047425,0.1137174206451986,0.34994457589788197,0.00011958340324827402,0.04784242358023173,99.1546460571579,0.06069032252834543,0.101663202427307,0.3619987941157735,-0.2583112278155275,0.7219732243586081,20.691985610336538,9.666625894780346,30.371679252179817,26.090661542313697,
Growth,Strict eligibility only,Estimated,16,41,0.22911234094950303,0.0539709089226948,0.12333130324812977,0.3348933786508763,2.1848809345649126e-05,0.04168199775705664,99.50624118225954,0.053314698982425406,0.11547475003175615,0.3427499318672499,-0.22381286671531578,0.6820375486143219,20.47608094389973,10.905693176275467,29.018430834716558,25.748329794278433,
Growth,Exclude overall high risk of bias,Estimated,11,25,0.19589666791201737,0.05610827731726628,0.08592646513558982,0.3058668706884449,0.0004804889731153923,0.029875292012942485,98.5715315570962,0.05778713421610919,0.06713890902015912,0.32465442680387563,-0.21519045140412602,0.6069837872281607,17.790282069257945,6.493469669008601,27.722291712366285,21.640120556362263,
Growth,Strict eligibility and exclude overall high risk,Estimated,11,25,0.19589666791201737,0.05610827731726628,0.08592646513558982,0.3058668706884449,0.0004804889731153923,0.029875292012942485,98.5715315570962,0.05778713421610919,0.06713890902015912,0.32465442680387563,-0.21519045140412602,0.6069837872281607,17.790282069257945,6.493469669008601,27.722291712366285,21.640120556362263,
Growth,Waterborne only,Estimated,7,10,0.28586107120865656,0.0960349526228932,0.09763602281077549,0.4740861196065376,0.0029143005022301935,0.05078546499697794,96.33097259501967,0.0963084519091122,0.05020277886682367,0.5215193635504894,-0.3438432180847941,0.9155653605021072,24.86330047954248,4.896344516846818,40.63820590126971,33.09075410315692,
Growth,Dietary only,Estimated,8,28,0.27888674512259487,0.08179957098419237,0.11856253204275022,0.4392109582024395,0.0006510802010424639,0.05230865688347099,99.7227214609012,0.08157668901619064,0.08598852791026779,0.47178496233492195,-0.31546520548972307,0.8732386957349128,24.337441009883598,8.23952419961087,37.61123421606574,32.165765121772736,
Growth,Fish only,Estimated,12,33,0.2359406967943325,0.06669713349482369,0.10521671727241796,0.366664676316247,0.00040394365621845444,0.04963127441521358,99.69084570365264,0.06682042200550808,0.08886993956914843,0.38301145401951653,-0.2822143323761257,0.7540957259647907,21.017248815265333,8.503543347811704,31.819491016753954,26.60992241977944,
Growth,Invertebrates only,Estimated,5,9,0.29461430131686106,0.11253533502993134,0.07404909767004692,0.5151795049636752,0.008845418912361337,0.05177784364109077,88.93350488765243,0.11316209498349172,-0.019574043393982332,0.6088026460277045,-0.5132636262902348,1.102492228923957,25.518119229457625,-1.9766871065534541,45.59981579593029,34.26084165096708,
Growth,Nanoplastic only,Not estimated,2,3,,,,,,,,,,,,,,,,,Fewer than 4 independent reports (k=2).
Growth,Microplastic only,Estimated,13,36,0.24294647285435766,0.06460100720012629,0.11633082537709741,0.36956212033161795,0.00016942317808468622,0.050246748695748175,99.53557883316705,0.06497760897368351,0.1013724247813956,0.3845205209273197,-0.27050161168929376,0.7563945573980091,21.568650528935287,9.640355149623192,31.922302372499523,27.500037516111476,
