Study_ID,DOI,DOI_URL,Title,Authors,Issue_year,Online_year,Journal,Source_PDF,Species,Taxon,Test_life_stage,Adult_role,Generation_design,Aquatic_system,Polymer,Particle_class,Nominal_size,Measured_size,Shape,Aging_or_surface_state,Fluorescent_label,Exposure_route,Exposure_regime,Exposure_start,Exposure_duration,Concentration_levels,Concentration_unit,Particle_only_arm,Co_stressor,Control_structure,Independent_unit,Biological_replicates,Organisms_per_unit,Environmental_realism,Biomarker_domains,Apical_domains,Same_experiment_link,Quantitative_status,Supplement_status,Raw_data_status,Eligibility_status,Manual_review_status,Key_quality_note,Same_experiment_biomarker_apical,Clear_treatment_control_mapping,Temporal_alignment,Group_means_reported,Variance_reported,Group_specific_independent_n,Experimental_unit_reported,Public_raw_or_complete_numeric_data,YES_count,NO_count,UC_count,Evaluated_count,Usability_proportion,Complete_8_item_score,Interpretive_note,Publication_year,Taxon_group,Habitat_group,Exposure_route_group,Polymer_group,Particle_class_group,Life_stage_group,Generation_group,Quantitative_reuse_class,Publication_year_final,Taxon_group_final,Exposure_route_final,Polymer_group_final,Particle_class_final
B1-001,10.1039/d0en00952k,https://doi.org/10.1039/d0en00952k,Interactive transgenerational effects of polystyrene nanoplastics and ethylhexyl salicylate on zebrafish,Zhou R; Lu G; Yan Z; Jiang R; Sun Y; Zhang P,2021,2020,Environmental Science: Nano,0001_2021_Interactive_transgenerational_effects_of_polystyrene_nanoplastics_and_ethylhexyl_salicylate_on_zebrafish_d0en00952k.pdf,Danio rerio,Fish,Adult F0; embryo and larva F1,F0 adults directly exposed,F0 parental exposure with F1(-) depuration and F1(+) continued exposure,Freshwater laboratory,Polystyrene,Nanoplastic,100 nm,105.7 nm hydrodynamic diameter,Spherical granular,Manufactured particle; no aging procedure reported,Yes,Waterborne,Daily-renewal exposure in 2 L glass beakers,F0 at 3 months old; F1 from collected eggs,F0 28 d; F1 evaluated to 5 dpf,"10 PS-NP; EHS 1, 10, 100; mixtures 1+10, 10+10, 100+10",µg/L,YES,Ethylhexyl salicylate,Blank water control and 0.01% DMSO solvent control,Replicate beaker for F0; replicate embryo cohort for Table 1,3,18 fish/beaker; Table 1 states 50 embryos/replicate,Not formally benchmarked; PS-NP dose 10 µg/L,Endocrine; oxidative stress; genotoxicity; apoptosis,Hatching; malformation; survival,YES,Exact arm-level values available for developmental Table 1; biomarker values are figure-only,ESI exists but was not included in this batch,No public raw-data statement in main article,INCLUDE,Manually verified,Embryo allocation text conflicts with the Table 1 footnote; biomarker pooling and independent unit require ESI confirmation.,YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,"The exposure unit is described, but biomarker pooling details remain incomplete. ESI review is still required.",2020,Fish,Freshwater,Waterborne,PS,Nanoplastic,Multiple stages or life cycle,Inter- or multigenerational,Fully reusable for conventional effect size,2020,Fish,Waterborne,PS,Nanoplastic
B1-002,10.1016/j.cbpc.2025.110397,https://doi.org/10.1016/j.cbpc.2025.110397,Polystyrene microplastics and nanoplastics induce neurotoxicity in zebrafish via oxidative stress and neurotransmitter disruption,Li J; Chen Y; Chen Y; Xie H; Wu G; Zhang Y; Wu K,2026,2025,Comparative Biochemistry and Physiology Part C,0002_2026_Polystyrene_microplastics_and_nanoplastics_induce_neurotoxicity_in_zebrafish_via_oxidative_stress_and_neu_j.cbpc.2025.110397.pdf.pdf,Danio rerio,Fish,Embryo and larva,Adults used only as broodstock,Single-generation early-life exposure,Freshwater laboratory,Polystyrene,Microplastic and nanoplastic,5 µm MP; 60 nm NP,SEM/ImageJ characterization reported; exact measured values not tabulated in main text,Spherical microspheres and nanospheres,Manufactured particle; no aging procedure reported,Parallel fluorescently labeled particles,Waterborne,Semi-static; >50% solution renewed daily in 7.5 cm dishes,2 hpf,2 hpf to 7 dpf,"0, 0.05, 0.5, 5, 50",mg/L,YES,,Ultrapure-water control,Exposure dish; endpoint-specific subsamples or pooled larvae from each replicate,3,"80 embryos/dish; endpoint subsamples 6, 7, 25, or 30 larvae/replicate",Low; authors state doses exceeded typical natural concentrations,Oxidative stress; neurotransmitters; neurodevelopmental gene expression; behavior; physiology,Growth; development and malformation; hatching; mortality,YES,Main article reports figure means and SD but no exact numeric table; requires supplement or digitization,Supplementary data exist but were not included in this batch,Available on request only,INCLUDE,Manually verified,Results and Discussion conflict on hatching/mortality significance; developmental assessment timepoints and Fig. 7 replicate sizes also require clarification.,YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,Replicate composition is endpoint-specific and mostly reported. Exact numeric data are figure-only and raw data are available only on request.,2025,Fish,Freshwater,Waterborne,PS,Nano–micro mixed or boundary,Embryo or larva,Single-generation,Fully reusable for conventional effect size,2025,Fish,Waterborne,PS,Nano–micro mixed or boundary
B1-003,10.1016/j.aquatox.2025.107542,https://doi.org/10.1016/j.aquatox.2025.107542,Aged nanoplastics reprogram the ER stress-autophagy crosstalk: A mechanistic gateway to skeletal malformations in zebrafish,Long S; Wen X; Dai M; Pan Y; Liu W; Zhan C,2025,2025,Aquatic Toxicology,0003_2025_Aged_nanoplastics_reprogram_the_ER_stress-autophagy_crosstalk_A_mechanistic_gateway_to_skeletal_malformat_j.aquatox.2025.107542.pdf.pdf,Danio rerio,Fish,Embryo and larva,Adults used only as broodstock,Single-generation early-life exposure,Freshwater laboratory,Polystyrene,Nanoplastic,80 nm,Pristine 59.63 nm; UV-aged 47.28 nm mean hydrodynamic size,Pristine spherical; aged particles cracked and more irregular,Pristine versus laboratory UV-aged for 48 h at UVC 254 nm,No particle fluorescence label reported,Waterborne,Static-renewal in 30 mL glass Petri dishes; complete medium replacement daily,Within 4 hpf,4 hpf to 7 dpf,"0, 1, 10",mg/L,YES,,0 mg/L particle-free control,Glass Petri dish is the exposure unit; endpoint-specific dish replication is incompletely reported,Minimum 3 overall; n=6 for qPCR and several figures; n=3 for histology and western blot,50 embryos/dish; qPCR pools of 25 larvae/sample tube,"Authors describe environmentally relevant exposure, but no direct field benchmark is provided and UV aging is a laboratory proxy",Oxidative stress; calcium homeostasis; histopathology; ER stress; autophagy; skeletal-development gene expression; protein expression,Hatching; survival/mortality; body length; skeletal malformation,YES,All outcome means and SEM are figure-only; no exact outcome table in the main article,Supplementary material exists but was not supplied in this batch,Available on request only,INCLUDE,Manually verified,"Treatment mapping and time alignment are strong, but endpoint-specific independent exposure-unit counts are not consistently distinguished from organism counts.",YES,YES,YES,YES,YES,UC,UC,NO,,,,,,,"Biomarker and apical outcomes are matched by arm and 7 dpf, but organism counts and exposure-unit replication are not consistently distinguished across endpoints; raw data are request-only.",2025,Fish,Freshwater,Waterborne,PS,Nanoplastic,Embryo or larva,Single-generation,Partially reusable,2025,Fish,Waterborne,PS,Nanoplastic
B1-004,10.1016/j.cbpc.2025.110216,https://doi.org/10.1016/j.cbpc.2025.110216,"Polystyrene nanoplastics cause developmental abnormalities, oxidative damage and immune toxicity in early zebrafish development",Saputra F; Pramata AD; Soegianto A; Hu SY,2025,2025,Comparative Biochemistry and Physiology Part C,0004_2025_Polystyrene_nanoplastics_cause_developmental_abnormalities_oxidative_damage_and_immune_toxicity_in_early_j.cbpc.2025.110216.pdf.pdf,Danio rerio,Fish,Embryo and larva,Adults used only as broodstock,Single-generation early-life exposure,Freshwater laboratory,Polystyrene,Nanoplastic,25 nm,No independent size measurement reported in the article,Not explicitly characterized in the article,Commercial fluorescent particles; no aging or weathering procedure,"Yes; red dye, excitation 542 nm and emission 612 nm",Waterborne,Daily-renewal exposure in 6-well plates,2 hpf,2 to 120 hpf,"0, 0.01, 0.1, 1, 10, 100",µg/mL,YES,,Distilled-water control stated in exposure section,Spawn-associated well; experiments repeated with eggs from three independent spawns,3,50 embryos/well; qPCR pools of 20 larvae/replicate; endpoint subsamples commonly n=20,No field concentration benchmark; 100 µg/mL caused severe acute toxicity and was excluded from later endpoints,Particle accumulation; antioxidant gene expression; oxidative-stress response; immune and inflammatory gene expression,Survival; hatching; malformation; body length; eye size; yolk-sac area; locomotor performance,YES,Means and SD are figure-only; no exact numeric outcome table in the main article,No supplementary-material statement located in the main article,Available on request only,INCLUDE,Manually verified,"Independent-spawn replication is explicit, but the article does not characterize actual particle size/shape and the distilled-water control description should be reconciled with embryo-medium husbandry.",YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,Three independent spawns and endpoint-specific pooling are reported; all group means remain figure-only and raw data are request-only.,2025,Fish,Freshwater,Waterborne,PS,Nanoplastic,Embryo or larva,Single-generation,Fully reusable for conventional effect size,2025,Fish,Waterborne,PS,Nanoplastic
B1-005,10.1016/j.envpol.2025.127070,https://doi.org/10.1016/j.envpol.2025.127070,Maternal polystyrene nanoplastics suppress zebrafish offspring development and locomotion through mitochondrial dysfunction,Cao F; Liu B; Hou X; Shi J; Li P; Zhang X; Zhang S; Zhao Q,2025,2025,Environmental Pollution,0005_2025_Maternal_polystyrene_nanoplastics_suppress_zebrafish_offspring_development_and_locomotion_through_mitocho_j.envpol.2025.127070.pdf.pdf,Danio rerio,Fish,"F0 embryo, juvenile and adult female; F1 embryo and larva",F0 females were directly exposed through maturation and crossed with unexposed males,Maternal intergenerational design; F0 exposed and F1 not directly exposed,Freshwater laboratory,Polystyrene,Nanoplastic,50 nm,SEM 54.2 ± 3.4 nm; DLS 61.0 ± 4.4 nm at 0 h and 63.4 ± 4.1 nm at 24 h,Spherical,Commercial europium-chelated fluorescent PS-NP; no aging/weathering procedure,"Yes; europium-chelated PS-Eu, excitation 360 nm and emission 615 nm",F0 waterborne; F1 indirect maternal exposure without direct particle treatment,Daily-renewal F0 exposure for 120 d; exposed female × unexposed male breeding; F1 assessed to 144 hpf,F0 at 2–4 hpf,"F0 120 d; F1 outcomes at 0, 24, 72 and 144 hpf","0, 1, 10, 100",µg/L,YES,,Maternal 0 µg/L PS-Eu control; unexposed males used in all crosses,Three maternal biological replicates per treatment with four breeding crosses per replicate; physical F0 exposure-vessel structure not specified,3 maternal biological replicates per treatment; two locomotor trials; endpoint-specific offspring subsamples,60 F1 embryos/replicate for development; 10 measured/replicate for morphometrics; 24 larvae/replicate stated for locomotion; 100 pooled embryos/replicate RNA-seq; 50 pooled embryos/replicate RT-qPCR,Authors benchmarked 1–100 µg/L against reported aquatic concentrations of 0.03–488 µg/L,"Mitochondrial respiration; transcriptomics; oxidative-phosphorylation pathway; RT-qPCR of atp5po, uqcrq, atp5pd and atp5l",Head area; body length; malformation; locomotor performance,YES,Outcome means and SEM are figure-only; RNA-seq raw data are public and exact DEG counts are reported,Supplementary data exist but were not supplied in this batch,RNA-seq public at GEO GSE299143; other endpoint raw data not reported as public,INCLUDE,Manually verified,"Maternal treatment mapping and temporal ordering are strong, but the F0 physical exposure unit and some offspring n definitions are incompletely reported.",YES,YES,YES,YES,YES,UC,UC,NO,,,,,,,"Biomarker and apical outcomes share maternal treatment arms and ordered timepoints. Means and SEM are reported in figures, but physical F0 exposure units and several offspring n definitions are unclear; only RNA-seq raw data are public.",2025,Fish,Freshwater,Waterborne,PS,Nanoplastic,Multiple stages or life cycle,Inter- or multigenerational,Partially reusable,2025,Fish,Waterborne,PS,Nanoplastic
B1-006,10.3390/toxics13030165,https://doi.org/10.3390/toxics13030165,Effects of Exposure to Different Types of Microplastics on the Growth and Development of Rana zhenhaiensis Tadpoles,Xiao S; Chen H; Gao X; He X; Jin R; Wei Y; Li S; Xie L; Zhang Y,2025,2025,Toxics,0006_2025_Effects_of_Exposure_to_Different_Types_of_Microplastics_on_the_Growth_and_Development_of_Rana_zhenhaiensi_toxics13030165.pdf.pdf,Rana zhenhaiensis,Amphibian,"Tadpole, Gosner stage 26 to 42",,Single-generation chronic tadpole exposure,Freshwater laboratory,Polypropylene; polystyrene; polyethylene in separate single-polymer arms,Microplastic,6 µm,No independent size measurement reported; vendor specification only,Spherical microspheres,Commercial raw microspheres; no aging/weathering procedure,No,Waterborne exposure in glass containers; ingestion is possible but was not a separate dosing route,4 L glass containers; two-thirds of solution renewed every 2 d,Gosner stage 26,"Until Gosner stage 42; treatment-dependent, approximately 35–75 d",0 or 50 for each polymer-specific arm,mg/L,YES,,Dechlorinated tap-water control,Glass container; 3 containers per treatment inferred directly from 120 tadpoles/treatment and 40 tadpoles/container,3 exposure containers per treatment; endpoint-specific downstream samples vary,"40 tadpoles/container, 120/treatment; morphology n=30/treatment; histology n=3/treatment; microbiome pools of 5 tadpoles; transcriptome pools of 4 tadpoles",50 mg/L represents a severe contamination scenario and the authors acknowledge that such concentrations are likely uncommon in nature,Liver histopathology; intestinal microbiome; oxidative-stress genes; energy and lipid metabolism; immune signaling; apoptosis transcriptomics,Mortality; metamorphosis; body weight; body length; hind-limb length,YES,"Exact text-reported mortality means and SD enable three comparisons; other outcomes are figure-only, qualitative, or sequencing based",Supplementary Table S1 exists but was not supplied in this batch,Microbiome and liver transcriptome raw data public at CNGB CRA023047 and CRA023057; other data available on request,INCLUDE,Manually verified,"Exposure-container replication is reconstructable, but downstream sample nesting and the liver-transcriptome wording contain ambiguities; PE lacked microbiome and transcriptome follow-up because few animals metamorphosed.",YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,"Exact mortality means and SD with container-level n are available. Sequencing raw data are public, but complete cross-level phenotypic data are not, and downstream sample nesting has some ambiguities.",2025,Amphibian,Freshwater,Waterborne,Mixed polymers,Microplastic,Embryo or larva,Single-generation,Fully reusable for conventional effect size,2025,Amphibian,Waterborne,Mixed polymers,Microplastic
B1-007,10.3390/environments12080252,https://doi.org/10.3390/environments12080252,Effects of Dietary Exposure to Polystyrene Microplastics on the Thyroid Gland in Xenopus laevis,Pablos MV; Jiménez MdLA; Beltrán EM; García-Hortigüela P; de Saint-Germain ML; González-Doncel M,2025,2025,Environments,0007_2025_Effects_of_Dietary_Exposure_to_Polystyrene_Microplastics_on_the_Thyroid_Gland_in_Xenopus_laevis_environments12080252.pdf.pdf,Xenopus laevis,Amphibian,"Tadpole, Nieuwkoop and Faber stage 51 to approximately stages 56-60",Adults were breeding-colony broodstock only and were not experimental exposure subjects,Single-generation 21-day Amphibian Metamorphosis Assay,Freshwater laboratory,Polystyrene,Microplastic,Ground and sieved to ≤200 µm,Laser diffraction P10 67.4 µm; P50 161 µm; P90 302 µm; mode 180 µm,Irregular heterogeneous fragments,Virgin laboratory PS test tubes mechanically fragmented; not environmentally weathered,No,Dietary incorporation; nominal water-equivalent mass concentrations also reported,Daily contaminated diet for 21 d in 5 L aquaria; 100% water renewal three times weekly,N&F stage 51,21 d,"Control; 0.84 and 8.4 mg PS/g food/day, corresponding to 50 and 500 µg/L and 250 and 2500 µg/aquarium/day",mg/g food/day with µg/L nominal water equivalent,YES,,Uncontaminated Sera Micron diet control,Aquarium; four aquaria per treatment,4 aquaria per treatment,22 tadpoles initially/aquarium; day 7 sample 5/aquarium; day 21 remaining animals; histology and EM use endpoint-specific subsets,"Dietary particles were intended to mimic irregular environmental fragments, but individual ingested dose was not quantified and particle-number exposure was inferred from prior work",Thyroid histopathology; multi-organ histopathology; enterocyte and hepatocyte ultrastructure,Mortality; malformation; developmental stage; whole-body length; snout-vent length; hind-limb ratio; wet weight,YES,Exact replicate-level mortality counts and developmental-stage counts are available; morphometrics are boxplot-only without means and variance,Supplementary Tables S1-S4 exist but were not supplied in this batch,Article and supplement are stated to contain original contributions; complete individual-level morphometric data are not provided,INCLUDE,Manually verified,"Aquarium replication is clear. One PS 1X aquarium had an air-pump failure, histology endpoint denominators are incompletely specified, and reported size distribution extends above the stated ≤200 µm sieve cutoff.",YES,YES,YES,NO,NO,YES,YES,NO,,,,,,,"Aquarium-level exposure design and treatment mapping are clear. Exact count tables are available, but morphometric outcomes use boxplots without means/variance, histology denominators are unclear, and complete individual-level data are not public.",2025,Amphibian,Freshwater,Dietary,PS,Microplastic,Embryo or larva,Single-generation,Directional or nonstandard evidence only,2025,Amphibian,Dietary,PS,Microplastic
B1-008,10.1021/acssuschemeng.4c10847,https://doi.org/10.1021/acssuschemeng.4c10847,Simulated Environmental Nanoplastics Induce Zebrafish Developmental Toxicity and Stress Response,Saraceni A; Rubin AE; Wexler Y; Gothilf Y; Bovolin P; Zucker I,2025,2025,ACS Sustainable Chemistry & Engineering,0008_2025_Simulated_Environmental_Nanoplastics_Induce_Zebrafish_Developmental_Toxicity_and_Stress_Response_acssuschemeng.4c10847.pdf.pdf,Danio rerio,Fish,"Embryo and larva, 4 hpf to 6 dpf; AB wild type and GRE/HRE reporter lines",Adults were broodstock only and were not experimental exposure subjects,Single-generation early-life-stage exposure,Freshwater embryo-water laboratory system,Polystyrene,Nanoplastic as classified by authors; measured hydrodynamic means approximately 111-160 nm,Commercial beads and top-down simulated environmental nanoparticles,Beads 160 ± 1 nm; SEPs 110.7 ± 3.8 nm; semi-environmental characterization sample 94.2 ± 1.2 nm,Commercial beads smooth and spherical; SEPs rough and irregular,"Beads pristine; SEPs thermally, UV and mechanically weathered with oxidized carboxylated surface",No particle label; transgenic zebrafish reporters express eGFP,Waterborne in embryo water,Glass Petri dishes containing 50 mL embryo water; exposure from 4 hpf to 6 dpf,4 hpf,To 6 dpf; survival and hatching assessed through 4 dpf,"0, 0.01 and 0.1",mg/L,YES,None; 250 mM NaCl served only as a positive stress control in the cortisol assay,Embryo-water negative control; particle-type matched doses for beads and SEPs in developmental assay,Independent experiment/biological replicate; Petri-dish and larvae-per-dish structure not fully reported,All in vivo experiments at least three times; qPCR four biological replicates,qPCR pool 15 larvae/biological replicate; cortisol pool 15 larvae/condition; reporter n=30 with allocation wording unclear; locomotor and development n not fully reported,"SEPs were generated by accelerated thermal, UV and mechanical weathering to approximate environmental particles; a seven-month outdoor-weathered sample was characterized but not used in toxicity tests","Cortisol; glucocorticoid reporter fluorescence; hypoxia reporter fluorescence; fkbp5, hpxa and pfkfb3 expression",Survival; hatching; body length; locomotor activity and immobility,YES,"Developmental, cortisol, reporter and locomotor means are figure-only; exact qPCR fold changes and 95% confidence intervals are text-reported",Supporting PDF with primers and representative reporter images exists but was not supplied in this batch,No raw-data repository or explicit complete data-availability statement identified in the main article,INCLUDE,Manually verified,"Particle and treatment contrasts are clear, but endpoint-specific experimental n and Petri-dish nesting are incompletely reported. Semi-environmental particles were characterization-only and must not be coded as a toxicity arm.",YES,YES,YES,YES,YES,UC,UC,NO,,,,,,,"Means and SEM are presented for most figure outcomes and exact qPCR effects have confidence intervals. Endpoint-specific independent n, larvae-per-dish structure and raw-data availability remain incomplete.",2025,Fish,Freshwater,Waterborne,PS,Nanoplastic,Embryo or larva,Single-generation,Partially reusable,2025,Fish,Waterborne,PS,Nanoplastic
B1-009,10.1016/j.scitotenv.2024.173253,https://doi.org/10.1016/j.scitotenv.2024.173253,Polystyrene nanoplastics exert cardiotoxicity through the Notch and Wnt pathways in zebrafish (Danio rerio),Liu W; Zeng M; Zhan C; Wen J; Wang J,2024,2024,Science of the Total Environment,0009_2024_Polystyrene_nanoplastics_exert_cardiotoxicity_through_the_Notch_and_Wnt_pathways_in_zebrafish_(Danio_reri_j.scitotenv.2024.173253.pdf.pdf,Danio rerio,Fish,"Embryo and larva, within 4 hpf to 7 dpf",Adults used only as broodstock,Single-generation early-life exposure,Freshwater laboratory,Polystyrene,Nanoplastic,80 nm,No independent size distribution or hydrodynamic measurement reported; vendor nominal diameter only,Spherical,"Commercial pristine PSNP stock, 1% w/v; no aging or weathering procedure",No,Waterborne,30 embryos in 30 mL aerated water per glass culture dish; PSNP water replaced daily,Within 4 hpf,7 days; mechanistic endpoints at days 4 and 7,"0, 1, 10, 100",µg/mL,YES,,0 µg/mL PSNP aerated-water control,Glass culture dish is the nominal exposure unit; mapping of caption n to dishes or pooled assays is not stated,Most endpoints n=6; SOD n=3; swimming frequency n≥10; endpoint-specific replicate composition unclear,30 embryos/dish in the exposure design; larvae per molecular or biochemical sample not reported,Authors state that selected concentrations cover natural conditions; no analytical verification of exposure concentration or particle behaviour in medium was reported,Heart-development gene expression; Notch and Wnt signaling; endoplasmic-reticulum stress; calcium homeostasis; mitochondrial gene expression; SOD activity,Hatching; survival; cardiac malformation and pericardial edema; swimming frequency,YES,All outcome means and SEM are figure-only; no exact numeric outcome table or text-reported arm means,No supplementary outcome file identified in the supplied article,Available on request only,INCLUDE,Manually verified,"The mechanistic-to-cardiac phenotype chain is extensive and temporally aligned, but exposure-unit mapping, assay pool composition, measured particle characteristics, and public numeric data are incomplete.",YES,YES,YES,YES,YES,UC,UC,NO,,,,,,,"Mechanistic and apical outcomes share particle-only arms and overlapping days 4-7. Means and SEM are shown, but the mapping of figure n to dishes or pooled samples is unclear and no public raw data are available.",2024,Fish,Freshwater,Waterborne,PS,Nanoplastic,Embryo or larva,Single-generation,Partially reusable,2024,Fish,Waterborne,PS,Nanoplastic
B1-010,10.1016/j.ecoenv.2024.117096,https://doi.org/10.1016/j.ecoenv.2024.117096,Polystyrene nanoplastics mediate skeletal toxicity through oxidative stress and the BMP pathway in zebrafish (Danio rerio),Liu W; Zeng M; Li Y; Chen G; Wang J,2024,2024,Ecotoxicology and Environmental Safety,0010_2024_Polystyrene_nanoplastics_mediate_skeletal_toxicity_through_oxidative_stress_and_the_BMP_pathway_in_zebraf_j.ecoenv.2024.117096.pdf.pdf,Danio rerio,Fish,"Fertilized egg, embryo and larva to 7 dpf",Adults used only as broodstock,Single-generation early-life exposure,Freshwater laboratory,Polystyrene,Nanoplastic,80 nm,No independent size distribution or hydrodynamic measurement reported; vendor nominal diameter only,Spherical,"Commercial pristine PSNP stock, 2.5% w/v; no aging or weathering procedure",No,Waterborne,"Fertilized eggs assigned to 0, 1, 10 and 100 µg/mL groups; exposure water renewed every three days; vessel and volume not reported",After fertilization; exact hpf not reported,"7 days; outcomes at 48, 72 and 96 hpf and days 4 and 7","0, 1, 10, 100",µg/mL,YES,,0 µg/mL PSNP waterborne control,"Captions define n as experimental replicates, but the physical exposure vessel and organisms per replicate are not described","Most endpoints n=6; ROS, Caspase 3 and AKP n=3; body length n≥12",Not reported,Authors describe concentrations as environmentally relevant; no analytical verification of exposure concentration or particle behaviour in medium was reported,Skeletal-development and BMP-Smad gene expression; ROS; antioxidant and apoptosis gene expression; Caspase 3 activity; alkaline phosphatase activity,Hatching; body length; spinal curvature and skeletal deformity,YES,All outcome means and SEM are figure-only; no exact numeric outcome table or text-reported arm means,No supplementary outcome file identified in the supplied article,Available on request only,INCLUDE,Manually verified,"Captions identify experimental-replicate n, but physical unit composition is absent. The abstract and primer/results sections disagree on bmp2a versus bmp2b, and the Fig. 7 caption states increased AKP although the graph and text show a decrease.",YES,YES,YES,YES,YES,UC,UC,NO,,,,,,,"Mechanistic and apical outcomes are arm- and time-aligned. Captions call n experimental replicates, but body length is reported only as n≥12 and the physical exposure unit and organisms per replicate are not described; no public raw data are available.",2024,Fish,Freshwater,Waterborne,PS,Nanoplastic,Embryo or larva,Single-generation,Partially reusable,2024,Fish,Waterborne,PS,Nanoplastic
