Study_ID,yi,vi,k_series,k_effects,Diet_substitution_flag,Biodegradable_flag,Aged_weathered_flag,Low_realism_flag,Internal_conflict_flag,Title,Species,Taxon_group,Life_stage_group,Exposure_route_group,Particle_class_group,Polymer,Exposure_duration_days,Analysis_year,DOI_URL,SE,CI_low,CI_high,Percent_adverse_change
B1-027,0.00311365067327936,0.00305304592818709,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Mitigating Dietary Microplastic Accumulation and Oxidative Stress Response in European Seabass (Dicentrarchus labrax) Juveniles Using a Natural Microencapsulated Antioxidant,Dicentrarchus labrax,Fish,Juvenile,Dietary,Microplastic,Amino-formaldehyde polymer,60,2024,https://doi.org/10.3390/antiox13070812,0.0552543747425223,-0.105182933810344,0.111410235156903,0.311850311850304
B1-057,0.0144983208970285,0.0022647729952448,1,3,FALSE,TRUE,FALSE,FALSE,TRUE,Impacts of polyhydroxybutyrate (PHB) microplastic exposure on physiology and metabolic profiles of Litopenaeus vannamei,Litopenaeus vannamei,Crustacean,Juvenile,Waterborne plus dietary,Microplastic,Polyhydroxybutyrate,60,2024,https://doi.org/10.1016/j.scitotenv.2024.175588,0.0475896311736579,-0.0787756422408857,0.107772284034943,1.46039313254924
B1-085,0.310662223226257,0.00553679639095144,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,"Ingestion, egestion and physiological effects of polystyrene microplastics on the marine jellyfish Rhopilema esculentum",Rhopilema esculentum,Cnidarian,Juvenile,Waterborne,Microplastic,Polystyrene,15,2023,https://doi.org/10.1016/j.marpolbul.2023.114609,0.0744096525388437,0.164821984147984,0.45650246230453,36.4328304933975
B1-089,0.428572046104272,0.00173986957171027,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,"Investigations of hemato-biochemical and histopathological parameters, and growth performance of walking catfish (Clarias batrachus) exposed to PET and LDPE microplastics",Clarias batrachus,Fish,Juvenile,Dietary,Microplastic,PET and LDPE,60,2023,https://doi.org/10.1016/j.etap.2023.104250,0.0417117438104699,0.346818530503389,0.510325561705154,53.5063957207327
B1-097,0.630293808687227,0.0212568594332184,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,Polystyrene nanoplastics affect digestive function and growth in juvenile groupers,Epinephelus coioides,Fish,Juvenile,Waterborne,Nanoplastic,Polystyrene,14,2021,https://doi.org/10.1016/j.scitotenv.2021.152098,0.145797323134612,0.344536306301039,0.916051311073414,87.8162318612697
B1-102,0.357497944919129,0.0044403792730682,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,"Adverse effects of dietary virgin (nano)microplastics on growth performance, immune response, and resistance to ammonia stress and pathogen challenge in juvenile sea cucumber Apostichopus japonicus (Selenka)",Apostichopus japonicus,Echinoderm,Juvenile,Dietary,Mixed nano and micro,Polystyrene,60,2021,https://doi.org/10.1016/j.jhazmat.2021.127038,0.0666361709064094,0.226893449874911,0.488102439963347,42.9747628198042
B1-108,0.092158868659131,1.0891671534455e-4,1,4,FALSE,FALSE,FALSE,FALSE,TRUE,"Comprehensive understanding the impacts of dietary exposure to polyethylene microplastics on genetically improved farmed tilapia (Oreochromis niloticus): tracking from growth, microbiota, metabolism to gene expressions",Oreochromis niloticus,Fish,Juvenile,Dietary,Microplastic,High-density polyethylene,63,2022,https://doi.org/10.1016/j.scitotenv.2022.156571,0.0104363171351082,0.0717040629430808,0.112613674375181,9.65390139264655
B1-129,0.00763391040087813,8.037451907723e-5,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,It’s not just synthetic microplastics: Multi-tissue approach reveals a wide range of transcriptional changes in European seabass exposed to viscose-rayon microfibres,Dicentrarchus labrax,Fish,Juvenile,Dietary,Microplastic,Viscose-rayon regenerated cellulose,68,2025,https://doi.org/10.1016/j.envpol.2025.127084,0.00896518371687036,-0.00993752679897271,0.025205347600729,0.766312298298066
B1-134,0.121243551680828,7.6449671191844e-4,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,Combined effects of microplastics and benzo[a]pyrene on Asian sea bass Lates calcarifer growth and expression of functional genes,Lates calcarifer,Fish,Juvenile,Waterborne,Microplastic,Polyethylene,56,2024,https://doi.org/10.1016/j.cbpc.2024.109966,0.0276495336654788,0.0670514615071614,0.175435641854494,12.8899824338052
B1-138,0.0596124028015153,4.55809148024e-5,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Toxic effects of polystyrene nanoplastics and polybrominated diphenyl ethers to zebrafish (Danio rerio),Danio rerio,Fish,Early life stage,Waterborne,Nanoplastic,Polystyrene,5,2022,https://doi.org/10.1016/j.fsi.2022.05.025,0.00675136392163903,0.0463799726685797,0.0728448329344509,6.14250614250613
