Study_ID,All_growth_effects,Valid_growth_effects,Selected_growth_effects,Title,Species
B1-160,25,25,5,"Polystyrene microplastics exposure in freshwater fish, Labeo rohita: evaluation of physiology and histopathology",Labeo rohita
B1-162,25,25,5,"Investigating the toxicity of polylactic acid microplastics on the health and physiology of freshwater fish, Cirrhinus mrigala",Cirrhinus mrigala
B1-157,15,15,5,"Toxicological assessment of dietary exposure of polyethylene microplastics on growth, nutrient digestibility, carcass and gut histology of Nile Tilapia (Oreochromis niloticus) fingerlings",Oreochromis niloticus
B1-085,12,12,2,"Ingestion, egestion and physiological effects of polystyrene microplastics on the marine jellyfish Rhopilema esculentum",Rhopilema esculentum
B1-057,9,9,3,Impacts of polyhydroxybutyrate (PHB) microplastic exposure on physiology and metabolic profiles of Litopenaeus vannamei,Litopenaeus vannamei
B1-089,9,9,3,"Investigations of hemato-biochemical and histopathological parameters, and growth performance of walking catfish (Clarias batrachus) exposed to PET and LDPE microplastics",Clarias batrachus
B1-129,9,9,3,It’s not just synthetic microplastics: Multi-tissue approach reveals a wide range of transcriptional changes in European seabass exposed to viscose-rayon microfibres,Dicentrarchus labrax
B1-108,8,8,4,"Comprehensive understanding the impacts of dietary exposure to polyethylene microplastics on genetically improved farmed tilapia (Oreochromis niloticus): tracking from growth, microbiota, metabolism to gene expressions",Oreochromis niloticus
B1-033,6,0,0,"Comparative toxicity of virgin and biodegraded LLDPE microplastics on growth, behavior, antioxidant, and hematological health of Catla catla fish",Catla catla
B1-102,6,6,2,"Adverse effects of dietary virgin (nano)microplastics on growth performance, immune response, and resistance to ammonia stress and pathogen challenge in juvenile sea cucumber Apostichopus japonicus (Selenka)",Apostichopus japonicus
B1-027,4,4,1,Mitigating Dietary Microplastic Accumulation and Oxidative Stress Response in European Seabass (Dicentrarchus labrax) Juveniles Using a Natural Microencapsulated Antioxidant,Dicentrarchus labrax
B1-163,3,3,1,"Co-exposure to Hexavalent Chromium and Polyamide Microplastics Alters Growth, Hematology, Histopathology of Tissues and Immune Genes Expression in Striped Catfish (Pangasianodon hypophthalmus)",Pangasianodon hypophthalmus
B1-097,2,2,2,Polystyrene nanoplastics affect digestive function and growth in juvenile groupers,Epinephelus coioides
B1-134,2,2,2,Combined effects of microplastics and benzo[a]pyrene on Asian sea bass Lates calcarifer growth and expression of functional genes,Lates calcarifer
B1-153,2,2,1,Continuous Exposure to Microplastics Does Not Cause Physiological Effects in the Cultivated Mussel Perna perna,Perna perna
B1-138,1,1,1,Toxic effects of polystyrene nanoplastics and polybrominated diphenyl ethers to zebrafish (Danio rerio),Danio rerio
B1-141,1,1,1,Microplastics alone or co-exposed with copper induce neurotoxicity and behavioral alterations on zebrafish larvae after a subchronic exposure,Danio rerio
B1-142,1,1,1,"Effects of ibuprofen and microplastics on movement, growth and reproduction in the freshwater snail Physella acuta",Physella acuta
